plugin	wal_threads	phase	metric	value	unit
barman	32	pgbench	rows_updated_per_s	357032	rows_updated/s
barman	32	pgbench	tps	17851.599140	tps
barman	32	pgbench	duration_s	963	s
barman	32	wal_gen	total_gb	374.30	GB
barman	32	wal_gen	avg_rate_kb_s	428986	KB/s
barman	32	wal_during	avg_archive_segs_per_min	984	segs/min
barman	32	wal_during	avg_archive_mb_per_min	15744	MB/min
barman	32	wal_drain	drain_time_s	480+	s
barman	32	wal_drain	avg_rate_segs_per_min	1135	segs/min
barman	32	wal_drain	avg_drain_segs_per_min	1135	segs/min
barman	32	wal_drain	avg_drain_mb_per_min	18160	MB/min
opera	32	pgbench	rows_updated_per_s	363819	rows_updated/s
opera	32	pgbench	tps	18190.958182	tps
opera	32	pgbench	duration_s	962	s
opera	32	wal_gen	total_gb	358.24	GB
opera	32	wal_gen	avg_rate_kb_s	408957	KB/s
opera	32	wal_during	avg_archive_segs_per_min	1091	segs/min
opera	32	wal_during	avg_archive_mb_per_min	17456	MB/min
opera	32	wal_drain	drain_time_s	480+	s
opera	32	wal_drain	avg_rate_segs_per_min	1314	segs/min
opera	32	wal_drain	avg_drain_segs_per_min	1314	segs/min
opera	32	wal_drain	avg_drain_mb_per_min	21024	MB/min
dalibo	32	pgbench	rows_updated_per_s	379121	rows_updated/s
dalibo	32	pgbench	tps	18956.041349	tps
dalibo	32	pgbench	duration_s	962	s
dalibo	32	wal_gen	total_gb	350.51	GB
dalibo	32	wal_gen	avg_rate_kb_s	401739	KB/s
dalibo	32	wal_during	avg_archive_segs_per_min	190	segs/min
dalibo	32	wal_during	avg_archive_mb_per_min	3040	MB/min
dalibo	32	wal_drain	drain_time_s	480+	s
dalibo	32	wal_drain	avg_rate_segs_per_min	197	segs/min
dalibo	32	wal_drain	avg_drain_segs_per_min	197	segs/min
dalibo	32	wal_drain	avg_drain_mb_per_min	3152	MB/min
barman	1	restore	base_restore_s	82	s
barman	1	restore	total_restore_s	600	s
barman	1	restore	wal_replay_s	518	s
barman	1	restore	avg_fetch_segs_per_min	24551	segs/min
barman	1	restore	avg_replay_kb_s	94460	KB/s
opera	1	restore	base_restore_s	153	s
opera	1	restore	total_restore_s	671	s
opera	1	restore	wal_replay_s	518	s
opera	1	restore	avg_fetch_segs_per_min	23734	segs/min
opera	1	restore	avg_replay_kb_s	46967	KB/s
opera	8	restore	base_restore_s	160	s
opera	8	restore	total_restore_s	678	s
opera	8	restore	wal_replay_s	518	s
opera	8	restore	avg_fetch_segs_per_min	23734	segs/min
opera	8	restore	avg_replay_kb_s	86470	KB/s
opera	32	restore	base_restore_s	193	s
opera	32	restore	total_restore_s	711	s
opera	32	restore	wal_replay_s	518	s
opera	32	restore	avg_fetch_segs_per_min	23734	segs/min
opera	32	restore	avg_replay_kb_s	91932	KB/s
dalibo	1	restore	base_restore_s	179	s
dalibo	1	restore	total_restore_s	697	s
dalibo	1	restore	wal_replay_s	518	s
dalibo	1	restore	avg_fetch_segs_per_min	4952	segs/min
dalibo	1	restore	avg_replay_kb_s	40056	KB/s
dalibo	8	restore	base_restore_s	50	s
dalibo	8	restore	total_restore_s	568	s
dalibo	8	restore	wal_replay_s	518	s
dalibo	8	restore	avg_fetch_segs_per_min	4952	segs/min
dalibo	8	restore	avg_replay_kb_s	42507	KB/s
dalibo	32	restore	base_restore_s	48	s
dalibo	32	restore	total_restore_s	565	s
dalibo	32	restore	wal_replay_s	517	s
dalibo	32	restore	avg_fetch_segs_per_min	4952	segs/min
dalibo	32	restore	avg_replay_kb_s	45283	KB/s
